County,# Out,% Out,timestamp,EMC
Lee,2,0.01%,05-27-2024 10:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 10:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 11:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 11:23:31,Opelika Power Services
Lee,2,0.01%,05-27-2024 11:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 11:53:31,Opelika Power Services
Lee,2,0.01%,05-27-2024 12:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 12:23:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 12:38:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 12:53:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 13:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 13:23:32,Opelika Power Services
Lee,2,0.01%,05-27-2024 13:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 13:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 14:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 14:23:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 14:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 14:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 15:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 15:23:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 15:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 15:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 16:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 16:23:28,Opelika Power Services
Lee,2,0.01%,05-27-2024 16:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 16:53:28,Opelika Power Services
Lee,2,0.01%,05-27-2024 17:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 17:23:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 17:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 17:53:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 18:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 18:23:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 18:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 18:53:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 19:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 19:23:28,Opelika Power Services
Lee,2,0.01%,05-27-2024 19:38:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 19:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 20:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 20:23:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 20:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 20:53:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 21:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 21:23:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 21:38:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 21:53:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 22:08:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 22:23:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 22:38:30,Opelika Power Services
Lee,2,0.01%,05-27-2024 22:53:32,Opelika Power Services
Lee,2,0.01%,05-27-2024 23:08:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 23:23:29,Opelika Power Services
Lee,2,0.01%,05-27-2024 23:38:24,Opelika Power Services
Lee,2,0.01%,05-27-2024 23:53:29,Opelika Power Services
Lee,2,0.01%,05-28-2024 00:08:30,Opelika Power Services
Lee,2,0.01%,05-28-2024 00:23:29,Opelika Power Services
Lee,2,0.01%,05-28-2024 00:38:29,Opelika Power Services
